date,location_name,pm25
2024-03-21,Dandenong,5.045208333333333
2024-03-21,Melbourne CBD,5.957083333333333
2024-03-21,Melton,2.8548333333333336
2024-03-21,Traralgon,4.7404166666666665
2024-03-22,Alphington,5.945083333333333
2024-03-22,Brighton,6.379958333333333
2024-03-22,Dandenong,5.53775
2024-03-22,Melbourne CBD,7.886666666666667
2024-03-22,Melton,4.740833333333334
2024-03-22,Traralgon,6.353375
2024-03-23,Alphington,5.070125
2024-03-23,Brighton,6.042208333333334
2024-03-23,Dandenong,4.258666666666667
2024-03-23,Melbourne CBD,6.7685
2024-03-23,Melton,2.9446666666666665
2024-03-23,Traralgon,4.442913043478261
2024-03-24,Alphington,5.110916666666666
2024-03-24,Brighton,4.8615
2024-03-24,Dandenong,4.241208333333334
2024-03-24,Melbourne CBD,6.316666666666666
2024-03-24,Melton,4.407875
2024-03-24,Traralgon,5.146916666666667
2024-03-25,Alphington,4.102666666666667
2024-03-25,Brighton,3.8324583333333333
2024-03-25,Dandenong,2.865
2024-03-25,Melbourne CBD,4.991458333333333
2024-03-25,Melton,4.005541666666667
2024-03-25,Traralgon,4.3205
2024-03-26,Alphington,5.351375
2024-03-26,Brighton,5.147208333333333
2024-03-26,Dandenong,5.241583333333334
2024-03-26,Melbourne CBD,6.417166666666667
2024-03-26,Melton,4.63875
2024-03-26,Traralgon,4.842416666666667
2024-03-27,Alphington,4.599291666666667
2024-03-27,Brighton,3.570217391304348
2024-03-27,Dandenong,3.301625
2024-03-27,Melbourne CBD,7.188166666666667
2024-03-27,Melton,3.8263333333333334
2024-03-27,Traralgon,7.151681818181818
2024-03-28,Alphington,3.669
2024-03-28,Box Hill,2.752666666666667
2024-03-28,Brighton,3.477333333333333
2024-03-28,Dandenong,3.603416666666667
2024-03-28,Melbourne CBD,4.915375
2024-03-28,Melton,1.8977499999999998
2024-03-28,Traralgon,7.434041666666666
2024-03-29,Alphington,16.446166666666667
2024-03-29,Box Hill,14.731874999999999
2024-03-29,Brighton,21.692041666666668
2024-03-29,Dandenong,16.707250000000002
2024-03-29,Melbourne CBD,19.486666666666668
2024-03-29,Melton,14.331666666666667
2024-03-29,Traralgon,18.335958333333334
2024-03-30,Alphington,27.669125
2024-03-30,Box Hill,25.053166666666666
2024-03-30,Brighton,27.049666666666667
2024-03-30,Dandenong,28.30918181818182
2024-03-30,Melbourne CBD,28.816541666666666
2024-03-30,Melton,19.58416666666667
2024-03-30,Traralgon,35.59729166666666
2024-03-31,Alphington,31.5975
2024-03-31,Box Hill,18.436833333333333
2024-03-31,Brighton,33.238166666666665
2024-03-31,Dandenong,30.009999999999998
2024-03-31,Melbourne CBD,31.447499999999998
2024-03-31,Melton,29.229041666666667
2024-03-31,Traralgon,21.50316666666667
2024-04-01,Alphington,19.51125
2024-04-01,Box Hill,13.035318181818182
2024-04-01,Brighton,17.29705882352941
2024-04-01,Dandenong,9.504999999999999
